	genre	bookID	format	0	1	2	3	4	5	6
692	['nonfiction', 'history', 'biography', 'politics']	2236	paperback	nonfiction	history	biography	politics			
693	['nonfiction', 'psychology', 'death', 'sociology', 'textbooks', 'read for school', 'academic']	2228	hardcover	nonfiction	psychology	death	sociology	textbooks	read for school	academic
694	['self help', 'nonfiction', 'business', 'personal development', 'psychology', 'leadership', 'productivity']	2249	paperback	self help	nonfiction	business	personal development	psychology	leadership	productivity
695	['self help', 'nonfiction', 'business', 'personal development', 'leadership', 'psychology', 'productivity']	2250	paperback	self help	nonfiction	business	personal development	leadership	psychology	productivity
696	['spirituality', 'fiction', 'philosophy', 'self help', 'psychology', 'personal development', 'inspirational']	2255	paperback	spirituality	fiction	philosophy	self help	psychology	personal development	inspirational
697	['self help', 'nonfiction', 'business', 'personal development', 'leadership', 'philosophy', 'inspirational']	2253	paperback	self help	nonfiction	business	personal development	leadership	philosophy	inspirational
698	['childrens', 'picture books', 'spirituality']	2257	hardcover	childrens	picture books	spirituality				
699	['nonfiction', 'sports', 'memoir', 'cycling', 'autobiography', 'biography', 'biography memoir']	2265	paperback	nonfiction	sports	memoir	cycling	autobiography	biography	biography memoir
700	['cycling', 'sports', 'biography', 'nonfiction', 'fitness']	2267	paperback	cycling	sports	biography	nonfiction	fitness		
701	['history', 'nonfiction', 'presidents', 'biography', 'american history', 'politics', 'biography memoir']	2279	paperback	history	nonfiction	presidents	biography	american history	politics	biography memoir
702	['short stories', 'fiction', 'classics', 'literature', 'american', 'southern gothic', '20th century']	2281	paperback	short stories	fiction	classics	literature	american	southern gothic	20th century
703	['classics', 'fiction', 'short stories', 'romance', 'american', 'literature', 'audiobook']	2282	hardcover	classics	fiction	short stories	romance	american	literature	audiobook
704	['mystery', 'fiction', 'mystery thriller', 'audiobook', 'murder mystery', 'crime', 'female authors']	2283	paperback	mystery	fiction	mystery thriller	audiobook	murder mystery	crime	female authors
705	['mystery', 'fiction', 'mystery thriller', 'murder mystery', 'crime', 'female authors', 'suspense']	2285	paperback	mystery	fiction	mystery thriller	murder mystery	crime	female authors	suspense
706	['fiction', 'classics', 'southern gothic', 'lgbt', 'literature', 'gothic', 'queer']	2287	paperback	fiction	classics	southern gothic	lgbt	literature	gothic	queer
707	['nonfiction', 'classics', 'true crime', 'crime', 'mystery', 'history', 'thriller']	2289	audio	nonfiction	classics	true crime	crime	mystery	history	thriller
708	['science', 'nonfiction', 'technology', 'philosophy', 'psychology', 'sociology', 'business']	2296	paperback	science	nonfiction	technology	philosophy	psychology	sociology	business
709	['science', 'nonfiction', 'biology', 'history', 'evolution', 'philosophy', 'history of science']	2304	paperback	science	nonfiction	biology	history	evolution	philosophy	history of science
710	['autistic spectrum disorder', 'nonfiction', 'memoir', 'psychology', 'biography', 'autobiography', 'biography memoir']	2299	paperback	autistic spectrum disorder	nonfiction	memoir	psychology	biography	autobiography	biography memoir
711	['short stories', 'fiction', 'american', 'literature', 'classics', '20th century', 'collections']	2307	hardcover	short stories	fiction	american	literature	classics	20th century	collections
712	['fiction', 'classics', 'literature', 'american', 'novels', 'collections', 'historical']	2306	hardcover	fiction	classics	literature	american	novels	collections	historical
713	['fiction', 'classics', 'literature', 'short stories', 'american', 'novels']	2309	hardcover	fiction	classics	literature	short stories	american	novels	
714	['fiction', 'classics', 'historical fiction', 'literature', 'american', 'novels', '20th century']	2314	paperback	fiction	classics	historical fiction	literature	american	novels	20th century
715	['fantasy', 'fiction', 'horror', 'childrens', 'middle grade', 'young adult', 'mystery']	2319	paperback	fantasy	fiction	horror	childrens	middle grade	young adult	mystery
716	['fantasy', 'fiction', 'young adult', 'science fiction', 'childrens', 'middle grade', 'dystopia']	2315	hardcover	fantasy	fiction	young adult	science fiction	childrens	middle grade	dystopia
717	['mystery', 'fiction', 'short stories', 'crime', 'noir', 'detective', 'hard boiled']	2051	paperback	mystery	fiction	short stories	crime	noir	detective	hard boiled
718	['humor', 'nonfiction', 'reference', 'comedy', 'language', 'linguistics', 'philosophy']	2322	paperback	humor	nonfiction	reference	comedy	language	linguistics	philosophy
719	['fantasy', 'fiction', 'reference', 'epic fantasy', 'german literature', 'collections']	2329	paperback	fantasy	fiction	reference	epic fantasy	german literature	collections	
720	['nonfiction', 'biography', 'history', 'biography memoir', 'reference', 'memoir', 'classics']	2327	paperback	nonfiction	biography	history	biography memoir	reference	memoir	classics
721	['science fiction', 'fiction', 'fantasy', 'humor', 'mystery', 'comedy', 'science fiction fantasy']	2326	audio	science fiction	fiction	fantasy	humor	mystery	comedy	science fiction fantasy
722	['fantasy', 'reference', 'language', 'linguistics', 'fiction', 'science fiction fantasy', 'writing']	2330	paperback	fantasy	reference	language	linguistics	fiction	science fiction fantasy	writing
723	['fantasy', 'classics', 'fiction', 'adventure', 'science fiction fantasy', 'high fantasy', 'epic fantasy']	2331	paperback	fantasy	classics	fiction	adventure	science fiction fantasy	high fantasy	epic fantasy
724	['short stories', 'horror', 'classics', 'fiction', 'gothic', 'ghost stories', 'ghosts']	2305	paperback	short stories	horror	classics	fiction	gothic	ghost stories	ghosts
725	['fantasy', 'fiction', 'classics', 'short stories', 'childrens', 'dragons', 'adventure']	2333	hardcover	fantasy	fiction	classics	short stories	childrens	dragons	adventure
726	['fiction', 'historical fiction', 'africa', 'south africa', 'drama', 'audiobook', 'novels']	2336	paperback	fiction	historical fiction	africa	south africa	drama	audiobook	novels
727	['language', 'linguistics', 'nonfiction', 'medieval', 'reference', 'academic', 'textbooks']	2348	paperback	language	linguistics	nonfiction	medieval	reference	academic	textbooks
728	['history', 'academic']	2353	hardcover	history	academic					
729	['historical fiction', 'fiction', 'historical', 'australia', 'audiobook', 'drama', 'novels']	2343	paperback	historical fiction	fiction	historical	australia	audiobook	drama	novels
730	['fiction', 'historical fiction', 'australia', 'historical', 'audiobook', 'novels', 'contemporary']	2338	hardcover	fiction	historical fiction	australia	historical	audiobook	novels	contemporary
731	['history', 'biography', 'nonfiction', 'american history', 'presidents', 'politics', 'historical']	2370	hardcover	history	biography	nonfiction	american history	presidents	politics	historical
732	['history', 'biography', 'nonfiction', 'american history', 'presidents', 'biography memoir', 'politics']	2368	paperback	history	biography	nonfiction	american history	presidents	biography memoir	politics
733	['history', 'nonfiction', 'biography', 'american history', 'essays', 'historical', 'biography memoir']	2367	paperback	history	nonfiction	biography	american history	essays	historical	biography memoir
734	['history', 'nonfiction', 'american history', 'historical', 'audiobook', '19th century', 'united states']	2371	hardcover	history	nonfiction	american history	historical	audiobook	19th century	united states
735	['mystery', 'thriller', 'fiction', 'crime', 'mystery thriller', 'suspense', 'detective']	2373	paperback	mystery	thriller	fiction	crime	mystery thriller	suspense	detective
736	['history', 'nonfiction', 'american history', 'historical', 'world history', 'audiobook', 'politics']	2372	hardcover	history	nonfiction	american history	historical	world history	audiobook	politics
